event_time,estimate,std_error,ci_lower,ci_upper,estimator
-5.0,-0.07447874079669865,0.04274322272911954,-0.15825545734577295,0.009297975752375648,TWFE
-4.0,-0.06943949085190003,0.04119315588463813,-0.15017807638579075,0.011299094681990696,TWFE
-3.0,-0.03864182678074793,0.0350694270058083,-0.1073779037121322,0.03009425015063634,TWFE
-2.0,0.0030852365725085157,0.03613464316889649,-0.0677386640385286,0.07390913718354564,TWFE
-1.0,0.0,0.0,0.0,0.0,TWFE
0.0,-0.03917434543937851,0.030865849078615077,-0.09967140963346406,0.021322718754707037,TWFE
1.0,-0.006297882208983385,0.03287833562449192,-0.07073942003298755,0.05814365561502078,TWFE
2.0,-0.057232136941200405,0.04155486525800285,-0.13867967284688598,0.02421539896448518,TWFE
3.0,0.031434635927581916,0.0504668148467338,-0.06748032117201633,0.13034959302718016,TWFE
4.0,0.015610426406972586,0.055762941926912904,-0.0936849397697767,0.12490579258372188,TWFE
5.0,0.03790101859818637,0.05461128636907791,-0.06913710268520633,0.14493913988157908,TWFE
-11.0,-0.1612277371079327,0.3121229349791514,-0.7729886896670696,0.4505332154512041,Callaway-SantAnna
-10.0,-0.0385246549905852,0.2235969915746675,-0.4767747584769335,0.399725448495763,Callaway-SantAnna
-9.0,-0.0211329280829208,0.1654763153659421,-0.3454665062001673,0.3032006500343256,Callaway-SantAnna
-8.0,-0.0723509238609052,0.1393662346494743,-0.345508743773875,0.2008068960520644,Callaway-SantAnna
-7.0,-0.0589201877712463,0.1290610959131285,-0.3118799357609783,0.1940395602184856,Callaway-SantAnna
-6.0,-0.0716046122086849,0.1266860263300269,-0.3199092238155376,0.1766999993981677,Callaway-SantAnna
-5.0,-0.056736353449885,0.1228111602094066,-0.2974462274603221,0.1839735205605519,Callaway-SantAnna
-4.0,-0.0653452039324702,0.1081309378309753,-0.2772818420811819,0.1465914342162414,Callaway-SantAnna
-3.0,-0.058681841198737,0.1133601594218065,-0.2808677536654779,0.1635040712680037,Callaway-SantAnna
-2.0,-0.0044384676330568,0.1088730214606041,-0.2178295896958409,0.2089526544297271,Callaway-SantAnna
-1.0,0.0,0.0969741076748014,-0.1900692510426108,0.1900692510426108,Callaway-SantAnna
0.0,-0.035298890807693,0.0990597412706374,-0.2294559836981424,0.1588582020827564,Callaway-SantAnna
1.0,-0.0019125058112412,0.0991554472480789,-0.1962571824174759,0.1924321707949933,Callaway-SantAnna
2.0,-0.0446427568279664,0.0963834638980707,-0.2335543460681851,0.1442688324122521,Callaway-SantAnna
3.0,0.0388280099995047,0.1087762413722782,-0.1743734230901606,0.2520294430891701,Callaway-SantAnna
4.0,0.0083267963428605,0.118970225959744,-0.2248548465382376,0.2415084392239588,Callaway-SantAnna
5.0,0.0148088560737826,0.1198494001271344,-0.2200959681754009,0.2497136803229661,Callaway-SantAnna
6.0,-0.0146103792202793,0.1166974561895001,-0.2433373933516996,0.2141166349111409,Callaway-SantAnna
7.0,0.0191099028741578,0.1310264128832713,-0.2377018663770539,0.2759216721253695,Callaway-SantAnna
8.0,0.0050309598745767,0.1618584470636991,-0.3122115963702735,0.3222735161194269,Callaway-SantAnna
9.0,0.0454878975102791,0.2072052573134282,-0.3606344068240401,0.4516102018445984,Callaway-SantAnna
10.0,0.2649111009017831,0.0,0.2649111009017831,0.2649111009017831,Callaway-SantAnna
11.0,0.4469491089511708,0.0,0.4469491089511708,0.4469491089511708,Callaway-SantAnna
